"","TruePrice","PredictPrice","TestError","ErrorPercentage"
"1",221900,252182.57625,30282.57625,0.120081952925961
"2",538000,484848.551916667,-53151.4480833334,-0.109624846507676
"3",180000,337455.471916667,157455.471916667,0.466596292015528
"4",604000,515202.621083333,-88797.3789166667,-0.1723542840872
"5",510000,521866.570833333,11866.5708333333,0.0227387065900473
"6",1230000,1401503.79466667,171503.794666667,0.1223712667203
"7",257500,278034.5935,20534.5935000001,0.0738562537902323
"8",291850,212240.0725,-79609.9275,-0.375093763219479
"9",229500,294739.338333333,65239.3383333333,0.221345880404845
"10",323000,314321,-8679,-0.0276118999366889
"11",662500,687169.83875,24669.83875,0.0359006425469369
"12",468000,478953.83325,10953.83325,0.0228703321480307
"13",310000,424956.423583333,114956.423583333,0.27051343903451
"14",4e+05,403282.436333333,3282.43633333326,0.00813929900636724
"15",530000,625484.745833333,95484.7458333332,0.152657193431822
"16",650000,800450.48125,150450.48125,0.187957262534284
"17",395000,386134.78825,-8865.21175000002,-0.0229588527627309
"18",485000,604421.63975,119421.63975,0.197580020131964
"19",189000,192704.880416667,3704.88041666659,0.0192256698878404
"20",230000,205669.047166667,-24330.9528333333,-0.118301480794125
"21",385000,390323.633583333,5323.63358333329,0.013639024453785
"22",2e+06,1467676.04166667,-532323.958333333,-0.362698540564058
"23",285000,324308.45925,39308.45925,0.121207011808774
"24",252700,200889.883083333,-51810.1169166666,-0.257903066702342
"25",329000,332062.878416667,3062.87841666664,0.0092237904798964
"26",233000,210996.336166667,-22003.6638333333,-0.104284577794529
"27",937000,829731.15125,-107268.84875,-0.129281452900013
"28",667000,646010.460833333,-20989.5391666668,-0.0324910205627181
"29",438000,458244.245,20244.2449999999,0.0441778488674743
"30",719000,717047.481,-1952.51899999985,-0.00272299819989167
"31",580500,600981.110333333,20481.1103333333,0.0340794577087014
"32",280000,319883.941166667,39883.9411666667,0.124682536488714
"33",687500,653685.521166667,-33814.4788333332,-0.0517289701827612
"34",535000,498282.8975,-36717.1025,-0.0736872621641604
"35",322500,319281.36975,-3218.63024999993,-0.010080858311652
"36",696000,689289.597916667,-6710.40208333312,-0.00973524350812035
"37",550000,537799.490666667,-12200.5093333333,-0.0226859815694681
"38",640000,810925.954083333,170925.954083333,0.21077874400573
"39",240000,197665.71725,-42334.28275,-0.214171093191933
"40",605000,550005.3845,-54994.6155,-0.0999892311054274
"41",625000,684711.102083333,59711.1020833334,0.087206271231259
"42",775000,575285.927916667,-199714.072083333,-0.347156192063615
"43",861990,873744.317916667,11754.3179166667,0.0134528118531213
"44",685000,608244.985833333,-76755.0141666667,-0.126190952583863
"45",309000,235413.520333333,-73586.4796666667,-0.312583914307352
"46",488000,543315.446416667,55315.4464166667,0.101810921779399
"47",210490,194919.77125,-15570.22875,-0.079880191989503
