"","TruePrice","PredictPrice","TestError","ErrorPercentage"
"4321",485000,464598.379166667,-20401.6208333333,-0.0439123805595855
"4320",432500,467909.766666667,35409.7666666667,0.0756764854876223
"4319",402500,375575.10675,-26924.89325,-0.0716897706107088
"4318",250000,226847.6945,-23152.3055,-0.102061013011529
"4317",1080000,1390659.5675,310659.5675,0.223390091119479
"4316",834500,1019444.75983333,184944.759833334,0.181417146980646
"4315",688000,866507.810916667,178507.810916667,0.206008311370934
"4314",430000,439839.81,9839.81000000006,0.022371349241898
"4313",167000,328281.222416667,161281.222416667,0.49128981922689
"4312",339000,387778.2975,48778.2975,0.125789137284043
"4311",6e+05,495467.92875,-104532.07125,-0.210976463226834
"4310",535000,313102.513916667,-221897.486083333,-0.708705539625249
"4309",386000,400959.161416667,14959.1614166666,0.0373084414976653
"4308",316000,307200.7865,-8799.21350000001,-0.0286431997790475
"4307",649950,626460.948,-23489.0519999999,-0.0374948383853608
"4306",315000,314632.714833333,-367.285166666668,-0.00116734576333305
"4305",325000,389307.654166667,64307.6541666666,0.165184664309569
"4304",330000,392723.785,62723.785,0.159714759827954
"4303",346950,406433.535833333,59483.5358333333,0.146354890994344
"4302",899100,905662.604166667,6562.60416666651,0.00724619095066314
"4301",340000,344560.643416667,4560.64341666666,0.0132361124342098
"4300",248000,338902.765,90902.765,0.268226684429677
"4299",1190000,849523.57,-340476.43,-0.400785148315544
"4298",219000,226200.94375,7200.94375000003,0.0318342781007961
"4297",156000,192570.389416667,36570.3894166667,0.189906607799078
"4296",1160000,877805.9375,-282194.0625,-0.321476593452639
"4295",537000,551403.23125,14403.2312500001,0.0261210497757671
"4294",358803,320950.294,-37852.7060000001,-0.117939465106083
"4293",326500,315739.783583333,-10760.2164166666,-0.0340793811110809
"4292",599000,462550.864583333,-136449.135416667,-0.294992715102976
"4291",192950,186444.533583333,-6505.46641666669,-0.0348922346589422
"4290",585000,623796.780583333,38796.7805833333,0.062194582900946
"4289",183000,206554.54725,23554.54725,0.114035481491923
"4288",430000,441493.260833333,11493.2608333333,0.0260326982378834
"4287",3e+05,304969.612333333,4969.61233333335,0.0162954344707024
"4286",215000,244205.34425,29205.34425,0.119593387031291
"4285",178000,216686.581416667,38686.5814166667,0.178537042597373
"4284",465000,397146.645166667,-67853.3548333334,-0.170852141542976
"4283",730000,752203.135833333,22203.1358333335,0.0295174731074945
"4282",534950,483375.6715,-51574.3284999999,-0.10669616106238
"4281",450000,506445.996166667,56445.9961666667,0.11145511385994
"4280",370000,388769.931083333,18769.9310833334,0.0482803056065313
"4279",235000,272558.779166667,37558.7791666667,0.137800658197474
"4278",220000,219036.557583333,-963.442416666658,-0.0043985461938248
"4277",242150,243824.27875,1674.27875000011,0.00686674337183952
"4276",1280000,1196741.35,-83258.6499999999,-0.0695711316400991
"4275",858000,931221.865,73221.8650000001,0.0786298816125845
"4274",260000,252954.0025,-7045.99749999994,-0.0278548567342789
"4273",912000,731562.272,-180437.728,-0.246647120697881
"4272",394900,371732.407916667,-23167.5920833334,-0.0623233045866881
"4271",544500,549611.253,5111.25300000003,0.0092997604617823
"4270",199500,252959.477083333,53459.4770833333,0.211336130591865
"4269",2400000,1844014.669,-555985.331,-0.301508084695177
"4268",585000,541477.655166667,-43522.3448333334,-0.0803769914013114
"4267",562000,711049.440833333,149049.440833333,0.209618955130111
"4266",593500,613850.614166667,20350.6141666668,0.0331523887033879
"4265",235000,282740.492583333,47740.4925833333,0.16884915261744
"4264",530000,390635.377166667,-139364.622833333,-0.35676395682379
"4263",3e+05,336756.675,36756.675,0.109149061410587
"4262",260000,264385.723333333,4385.72333333344,0.0165883515873661
"4261",489950,513429.205,23479.205,0.0457301703357526
"4260",210000,315500.42725,105500.42725,0.334390758737079
"4259",435000,460514.922333333,25514.9223333334,0.0554052020813018
"4258",619500,596014.877166667,-23485.1228333334,-0.0394035849322704
"4257",261500,299172.39025,37672.3902499999,0.125922015124856
"4256",1300000,1313043.13025,13043.1302499999,0.00993351242583825
"4255",271900,241036.434583333,-30863.5654166667,-0.128045228805425
"4254",845000,928384.45675,83384.45675,0.0898167307129466
"4253",170000,223129.967,53129.9670000001,0.238112198528672
"4252",725000,745842.607166667,20842.6071666669,0.0279450476097692
"4251",1010000,813997.117333333,-196002.882666667,-0.240790634871995
"4250",722000,751994.953916667,29994.9539166668,0.0398871744556822
"4249",750000,718546.9365,-31453.0634999999,-0.043773150927629
"4248",375000,370184.509166667,-4815.49083333334,-0.0130083531700817
"4247",425000,373169.532166667,-51830.4678333332,-0.138892549808124
"4246",755000,785302.447833333,30302.4478333333,0.0385869774339026
"4245",865000,743261.799,-121738.201,-0.163789126743483
"4244",615000,670102.7225,55102.7225,0.0822302620923914
"4243",514000,527063.077916667,13063.0779166667,0.0247846575941184
"4242",865000,875405.632166667,10405.6321666667,0.0118866406432779
"4241",815000,741510.448333333,-73489.5516666665,-0.0991079111991562
"4240",384400,443835.872166667,59435.8721666666,0.133914079266553
"4239",729000,592261.270833333,-136738.729166667,-0.230875689329255
"4238",445000,478423.988833333,33423.9888333332,0.0698626942073697
"4237",710000,617935.595,-92064.405,-0.148987055843579
"4236",7e+05,892224.739666666,192224.739666666,0.215444305812996
"4235",780000,898295.610833333,118295.610833333,0.13168895562519
"4234",562000,866281.527333333,304281.527333333,0.351250162600143
"4233",268000,362640.523,94640.5229999999,0.260976137517869
"4232",475000,626370.929333334,151370.929333334,0.241663401420054
"4231",527500,513279.8325,-14220.1675000002,-0.0277045124308486
"4230",486700,426774.554583333,-59925.4454166666,-0.140414757096221
"4229",509500,576123.679416667,66623.6794166667,0.115641279462986
"4228",755000,488351.043916667,-266648.956083333,-0.546019015224702
"4227",550000,524791.74,-25208.2599999999,-0.0480347880475403
"4226",390000,397305.595833333,7305.59583333338,0.0183878503347283
"4225",271500,280050.828,8550.82799999992,0.0305331287933201
"4224",571900,451924.39375,-119975.60625,-0.265477163678775
"4223",356000,370645.44625,14645.44625,0.0395133581113031
"4222",379260,289493.12425,-89766.87575,-0.310082928506721
"4221",1570000,1127196.87083333,-442803.129166667,-0.392835662184995
"4220",329500,349284.867916667,19784.8679166668,0.0566439308827633
"4219",1880000,1747458,-132542,-0.0758484610216669
"4218",285000,241584.237666667,-43415.7623333333,-0.179712727753528
"4217",305000,350817.05225,45817.0522499999,0.130600984063197
"4216",291500,321729.592416667,30229.5924166667,0.0939596267461677
"4215",525000,550923.204,25923.204,0.0470541153681376
"4214",480680,490237.004916667,9557.00491666683,0.01949466242005
"4213",270000,329422.695666667,59422.6956666666,0.180384340387994
"4212",1290000,1352067.26833333,62067.2683333335,0.0459054588384812
"4211",255000,260002.1795,5002.17950000006,0.0192389906485382
"4210",825000,823258.13425,-1741.86575,-0.00211581966522185
"4209",369000,479155.230833333,110155.230833333,0.229894664077348
"4208",360000,409293.790833333,49293.7908333333,0.12043620484193
"4207",512500,536164.72725,23664.7272499999,0.0441370460369088
"4206",550000,495984.668083333,-54015.3319166669,-0.108905245247604
"4205",373000,438672.842666667,65672.8426666667,0.149708019916267
"4204",150000,245914.326916667,95914.3269166667,0.39003147201411
"4203",654000,577755.827916667,-76244.1720833333,-0.131966080477738
"4202",606000,598750.004,-7249.99600000004,-0.0121085527374795
"4201",410000,446153.729583333,36153.7295833333,0.0810342426524095
"4200",875000,722728.331666667,-152271.668333333,-0.210690049997325
"4199",423000,445127.347083333,22127.3470833333,0.0497101497544944
"4198",527000,544423.196666667,17423.1966666667,0.0320030387634903
"4197",581000,537922.366916667,-43077.6330833331,-0.0800815056831548
"4196",470000,466544.911666667,-3455.08833333338,-0.00740569288600867
"4195",665900,464388.745,-201511.255,-0.43392794758624
"4194",360000,379118.478,19118.4779999999,0.0504287686025157
"4193",1050000,730113.784,-319886.216,-0.438132004915004
"4192",3e+05,325043.37,25043.3699999999,0.0770462415523194
"4191",2880000,1965979.99666667,-914020.003333333,-0.464918262079502
"4190",1600000,1439601.70833333,-160398.291666667,-0.111418519954637
"4189",585000,615419.9425,30419.9425000001,0.0494295689808591
"4188",400800,390248.64525,-10551.3547499999,-0.0270375179476679
"4187",360000,516667.722833333,156667.722833333,0.303227230790012
"4186",393500,437492.873833333,43992.8738333334,0.100556778097585
"4185",335000,309986.789666667,-25013.2103333333,-0.0806912138424685
"4184",341000,313433.419833333,-27566.5801666667,-0.0879503537986633
"4183",489200,427921.495,-61278.5050000001,-0.143200343324656
"4182",775000,496785.501666667,-278214.498333333,-0.560029423966583
"4181",235000,256371.722166667,21371.7221666667,0.0833622444240282
"4180",360000,305417.484833333,-54582.5151666667,-0.17871444130467
"4179",790000,681807.233833333,-108192.766166667,-0.158685271727572
"4178",552000,574770.952833333,22770.9528333333,0.0396174384267052
"4177",340000,359393.115166667,19393.1151666667,0.0539607308773104
"4176",4e+05,314473.898583333,-85526.1014166666,-0.271965660113451
"4175",438000,589366.464833333,151366.464833333,0.256829110350108
"4174",1190000,1182413.75,-7586.25000000023,-0.00641590137124186
"4173",273000,258321.797333333,-14678.2026666666,-0.0568213864187627
"4172",245000,242551.857583333,-2448.1424166667,-0.0100932742427074
"4171",810000,672086.89,-137913.11,-0.205201309610428
"4170",232000,205475.508333333,-26524.4916666667,-0.129088337008211
"4169",359950,337182.298416667,-22767.7015833333,-0.0675234189049822
"4168",320000,322220.41,2220.40999999997,0.006890966341952
"4167",628000,634013.4585,6013.45849999995,0.00948474897398404
"4166",523000,636771.077833334,113771.077833334,0.178668726947287
"4165",420250,453865.7855,33615.7855000001,0.0740654761252103
"4164",240000,276792.97825,36792.9782499999,0.132925981296998
"4163",489000,477547.158833333,-11452.8411666668,-0.0239826391065681
"4162",522500,425092.078833333,-97407.9211666666,-0.229145462870075
"4161",579100,522801.193416667,-56298.8065833333,-0.107686836396457
"4160",215000,214118.259666667,-881.74033333332,-0.00411800625834522
"4159",720000,736238.845833334,16238.8458333336,0.022056491484028
"4158",245000,234814.865333333,-10185.1346666666,-0.0433751698479916
